date,reform_innovation,finance,intervention_spending,regulation,intervention_tax_cut,intervention_support,reform,intervention_x,reform_market,economy,intervention_y
2016-04-29,0.4232888746905199,0.03993291270665282,0.031946330165322265,0.3274498841945531,0.0,0.3593962143598754,0.4153022921491893,0.3913425445251977,0.4312754572318505,0.622953438223784,0.3913425445251977
2016-05-31,0.8636155033585048,0.11264550043806584,0.00834411114356043,0.5715716133338896,0.04589261128958238,0.4672702240393842,1.4226709499770536,0.521506946472527,0.9178522257916476,1.3183695606825483,0.521506946472527
2016-06-30,0.5806451612903226,0.6523297491039427,0.017921146953405017,0.30824372759856633,0.03942652329749104,0.4910394265232975,1.4659498207885304,0.5483870967741935,0.8602150537634409,1.2258064516129032,0.5483870967741935
2016-07-29,0.3497292418772563,0.3779332129963899,0.0028203971119133576,0.2256317689530685,0.033844765342960284,0.41741877256317694,0.7756092057761733,0.4540839350180506,0.6402301444043321,1.6471119133574008,0.4540839350180506
2016-08-31,0.3374578177727784,0.0710437511100586,0.02960156296252442,0.2723343792552247,0.005920312592504884,0.22497187851518569,0.4854656325854005,0.2604937540702149,0.5032265703629152,0.5209875081404298,0.2604937540702149
2016-09-30,0.1523845065385393,0.09640652454479016,0.003109887888541618,0.13372517920728955,0.003109887888541618,0.2285767598078089,0.38718104212343146,0.23479653558489216,0.7354884856400926,0.5815490351572826,0.23479653558489216
2016-10-31,0.5321238527195458,0.1249955358737188,0.007142602049926787,0.22499196457269385,0.007142602049926787,0.3178457912217421,0.8178279347166173,0.3321309953215956,0.5285525516945823,0.7678297203671297,0.3321309953215956
2016-11-30,0.2902183233295957,0.1670953982806763,0.008794494646351384,0.27043071037530503,0.057164215201284,0.26383483939054153,0.5760393993360157,0.3297935492381769,0.600224259613482,0.5694435283512521,0.3297935492381769
2016-12-30,0.31099802092168505,0.03958156629912355,0.011309018942606728,0.27707096409386484,0.07350862312694373,0.33927056827820185,0.7124681933842242,0.4240882103477523,0.9895391574780888,0.5711054566016398,0.4240882103477523
2017-01-31,0.30548001341131764,0.06705658830980142,0.029802928137689526,0.4395931900309205,0.044704392206534285,0.15646537272287006,0.6593897850463808,0.23097269306709384,5.38315389487017,0.6407629549603249,0.23097269306709384
2017-02-28,0.2859370938393553,0.015596568754873929,0.015596568754873929,0.8318170002599428,0.1559656875487393,0.19755653756173644,0.4990902001559657,0.3691187938653496,0.5458799064205875,0.4367039251364699,0.3691187938653496
2017-03-31,0.23566275211964824,0.08557585970825214,0.010532413502554109,0.2290799936805519,0.06582758439096319,0.18300068460687768,0.5569013639475486,0.25936068250039496,3.2242350834693774,0.6622254989730897,0.25936068250039496
